subject,problem_type,learning_block,compression_score
02,1,1,0.375
03,1,1,0.4375
04,1,1,0.4375
05,1,1,0.375
06,1,1,0.375
07,1,1,0.40625
08,1,1,0.40625
09,1,1,0.375
10,1,1,0.375
11,1,1,0.53125
12,1,1,0.375
13,1,1,0.40625
14,1,1,0.5
15,1,1,0.40625
16,1,1,0.40625
17,1,1,0.5625
18,1,1,0.4375
19,1,1,0.40625
20,1,1,0.375
21,1,1,0.375
22,1,1,0.375
23,1,1,0.40625
24,1,1,0.34375
02,2,1,0.375
03,2,1,0.4375
04,2,1,0.375
05,2,1,0.625
06,2,1,0.40625
07,2,1,0.40625
08,2,1,0.375
09,2,1,0.375
10,2,1,0.375
11,2,1,0.4375
12,2,1,0.375
13,2,1,0.40625
14,2,1,0.40625
15,2,1,0.375
16,2,1,0.40625
17,2,1,0.375
18,2,1,0.40625
19,2,1,0.40625
20,2,1,0.40625
21,2,1,0.40625
22,2,1,0.625
23,2,1,0.4375
24,2,1,0.4375
02,6,1,0.40625
03,6,1,0.375
04,6,1,0.40625
05,6,1,0.40625
06,6,1,0.4375
07,6,1,0.40625
08,6,1,0.46875
09,6,1,0.4375
10,6,1,0.375
11,6,1,0.40625
12,6,1,0.40625
13,6,1,0.40625
14,6,1,0.4375
15,6,1,0.40625
16,6,1,0.40625
17,6,1,0.40625
18,6,1,0.40625
19,6,1,0.375
20,6,1,0.375
21,6,1,0.375
22,6,1,0.40625
23,6,1,0.34375
24,6,1,0.34375
02,1,2,0.40625
03,1,2,0.375
04,1,2,0.4375
05,1,2,0.4375
06,1,2,0.40625
07,1,2,0.375
08,1,2,0.375
09,1,2,0.40625
10,1,2,0.40625
11,1,2,0.5
12,1,2,0.40625
13,1,2,0.375
14,1,2,0.4375
15,1,2,0.4375
16,1,2,0.40625
17,1,2,0.625
18,1,2,0.40625
19,1,2,0.375
20,1,2,0.34375
21,1,2,0.34375
22,1,2,0.375
23,1,2,0.34375
24,1,2,0.375
02,2,2,0.4375
03,2,2,0.40625
04,2,2,0.375
05,2,2,0.59375
06,2,2,0.4375
07,2,2,0.40625
08,2,2,0.375
09,2,2,0.40625
10,2,2,0.34375
11,2,2,0.40625
12,2,2,0.375
13,2,2,0.53125
14,2,2,0.375
15,2,2,0.4375
16,2,2,0.40625
17,2,2,0.375
18,2,2,0.34375
19,2,2,0.40625
20,2,2,0.46875
21,2,2,0.4375
22,2,2,0.59375
23,2,2,0.40625
24,2,2,0.40625
02,6,2,0.4375
03,6,2,0.40625
04,6,2,0.375
05,6,2,0.4375
06,6,2,0.4375
07,6,2,0.375
